"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
675.08	3016.74	1	0	0	0	0	0	0	0	0	0	0	0
563.77	1293.57	1	0	0	0	0	0	0	0	0	0	0	0
918.39	2468.75	1	0	0	0	0	0	0	0	0	0	0	0
1432.7	5210.74	1	0	0	0	0	0	0	0	0	0	0	0
926.98	2208.82	1	0	0	0	0	0	0	0	0	0	0	0
1248.98	2382.83	1	0	0	0	0	0	0	0	0	0	0	0
504.4	689.54	1	0	0	0	0	0	0	0	0	0	0	0
284.62	501.1	1	0	0	0	0	0	0	0	0	0	0	0
1176.89	1678.15	1	0	0	0	0	0	0	0	0	0	0	0
1762.71	2610.39	1	0	0	0	0	0	0	0	0	0	0	0
3299.77	7176.67	1	0	0	0	0	0	0	0	0	0	0	0
19.5	NA	0	0	0	0	0	0	1	0	0	0	0	0
30	333.2	0	0	0	0	0	0	1	0	0	0	0	0
20	33.5	0	0	0	0	0	0	1	0	0	0	0	0
20	33.9	0	0	0	0	0	0	1	0	0	0	0	0
42	126.2	0	0	0	0	0	0	1	0	0	0	0	0
5.7	5.7	0	0	0	0	0	0	1	0	0	0	0	0
0.8	0.8	0	0	0	0	0	0	1	0	0	0	0	0
15	15	0	0	0	0	0	0	1	0	0	0	0	0
34.1	34.2	0	0	0	0	0	0	1	0	0	0	0	0
407.5	508.1	0	0	0	0	0	0	1	0	0	0	0	0
90.5	124	0	0	0	0	0	0	1	0	0	0	0	0
128.8	262.5	0	0	0	0	0	0	1	0	0	0	0	0
1337	1757.8	0	0	0	0	0	0	1	0	0	0	0	0
64	118.9	0	0	0	0	0	0	1	0	0	0	0	0
22.8	23.5	0	0	0	0	0	0	1	0	0	0	0	0
839.9	NA	0	0	0	0	0	0	0	1	0	0	0	0
588.9	1416.48	0	0	0	0	0	0	0	1	0	0	0	0
581.12	979.99	0	0	0	0	0	0	0	1	0	0	0	0
707.22	1309.34	0	0	0	0	0	0	0	1	0	0	0	0
856.7	3730.7	0	0	0	0	0	0	0	1	0	0	0	0
498.44	911.44	0	0	0	0	0	0	0	1	0	0	0	0
529.89	NA	0	0	0	0	0	0	0	1	0	0	0	0
524.5	1106.38	0	0	0	0	0	0	0	1	0	0	0	0
494.78	839.52	0	0	0	0	0	0	0	1	0	0	0	0
592.71	1398.89	0	0	0	0	0	0	0	1	0	0	0	0
901	2649	0	0	0	0	0	0	0	1	0	0	0	0
649.51	1525.51	0	0	0	0	0	0	0	1	0	0	0	0
4086.95	NA	0	0	0	0	0	0	0	1	0	0	0	0
3461.81	8739.94	0	0	0	0	0	0	0	1	0	0	0	0
2897.97	11828.66	0	0	0	0	0	0	0	1	0	0	0	0
2090.57	10255.65	0	0	0	0	0	0	0	1	0	0	0	0
1736.5	8257.5	0	0	0	0	0	0	0	1	0	0	0	0
4581.56	7581.56	0	0	0	0	0	0	0	1	0	0	0	0
33.14	NA	0	0	0	0	0	1	0	0	0	0	0	0
11.75	11.75	0	0	0	0	0	1	0	0	0	0	0	0
13.79	13.79	0	0	0	0	0	1	0	0	0	0	0	0
56.69	56.69	0	0	0	0	0	1	0	0	0	0	0	0
118.4	119.35	0	0	0	0	0	1	0	0	0	0	0	0
132.38	138.82	0	0	0	0	0	1	0	0	0	0	0	0
191.81	203.4	0	0	0	0	0	1	0	0	0	0	0	0
44.68	44.68	0	0	0	0	0	1	0	0	0	0	0	0
67.99	67.99	0	0	0	0	0	1	0	0	0	0	0	0
113.57	124.23	0	0	0	0	0	1	0	0	0	0	0	0
126.76	NA	0	0	0	0	0	0	0	0	0	0	0	1
371.72	390.27	0	0	0	0	0	0	0	0	0	0	0	1
83.56	91.39	0	0	0	0	0	0	0	0	0	0	0	1
58.76	74.63	0	0	0	0	0	0	0	0	0	0	0	1
35.57	50.15	0	0	0	0	0	0	0	0	0	0	0	1
73.76	125.13	0	0	0	0	0	0	0	0	0	0	0	1
984.33	994.32	0	0	0	0	0	0	0	0	0	0	0	1
523.28	542.05	0	0	0	0	0	0	0	0	0	0	0	1
830.14	859.34	0	0	0	0	0	0	0	0	0	0	0	1
277.13	292.96	0	0	0	0	0	0	0	0	0	0	0	1
302.35	317.81	0	0	0	0	0	0	0	0	0	0	0	1
590.85	591.35	0	0	0	0	0	0	0	0	0	0	0	1
70.14	NA	0	0	0	0	0	0	0	0	0	0	0	1
397.8	430.05	0	0	0	0	0	0	0	0	0	0	0	1
639.67	677.38	0	0	0	0	0	0	0	0	0	0	0	1
2388.21	2405.39	0	0	0	0	0	0	0	0	0	0	0	1
60.47	69.19	0	0	0	0	0	0	0	0	0	0	0	1
8.19	10.53	0	0	0	0	0	0	0	0	0	0	0	1
44.18	46.41	0	0	0	0	0	0	0	0	0	0	0	1
146.36	NA	0	0	0	0	0	0	0	0	0	0	1	0
543.01	1423.44	0	0	0	0	0	0	0	0	0	0	1	0
910.06	2407.88	0	0	0	0	0	0	0	0	0	0	1	0
1442.42	3779.49	0	0	0	0	0	0	0	0	0	0	1	0
2161.12	3866.27	0	0	0	0	0	0	0	0	0	0	1	0
152.58	570.41	0	0	0	0	0	0	0	0	0	0	1	0
58.54	126.49	0	0	0	0	0	0	0	0	0	0	1	0
585.52	999.13	0	0	0	0	0	0	0	0	0	0	1	0
863.43	1603.02	0	0	0	0	0	0	0	0	0	0	1	0
9386.48	13734.81	0	0	0	0	0	0	0	0	0	0	1	0
2785.2	4987.74	0	0	0	0	0	0	0	0	0	0	1	0
1656.66	2995.93	0	0	0	0	0	0	0	0	0	0	1	0
2926.45	6053.61	0	0	0	0	0	0	0	0	0	0	1	0
72.19	339.31	0	0	0	0	0	0	0	0	0	0	1	0
494.61	738.5	0	0	0	0	0	0	0	0	0	0	1	0
364.93	NA	0	0	0	0	0	1	0	0	0	0	0	0
387.09	745.42	0	0	0	0	0	1	0	0	0	0	0	0
344.47	344.47	0	0	0	0	0	1	0	0	0	0	0	0
